Status,NEW,NEW,NEW,NEW,,,,,,,,Harvey Norman Exclusive,,,,Harvey Norman Exclusive,,,Obsolete,Obsolete
Model #,KDIAM90AX,SHU970X,SHU770X,SHU670X,SHC965X,LIFTFPX900,LIFTB900,SA5502X90,STH900X,CK2000LED,SHU701X,SHC700X,SA5502X60,STH600X,SHU501X,SHC520X,SA520TX60,SA520TX90,PUM90X,PUM60X
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,,
EAN,8017709217082,9345025001511,9345025001504,9345025001498,9345025000750,8026493051093,8026393051079,8017709171407,9345025001412,8026493057989,9345025001382,9345025000675,8017709171414,9345025001405,9345025001375,9345025000668,,,,
Description,90cm Undermount rangehood,90cm Undermount rangehood,70cm Undermount rangehood,60cm Undermount rangehood,96cm Undermount Rangehood,90cm Downdraft rangehood,90cm Downdraft rangehood,90cm Telescopic rangehood,90cm Telescopic rangehood,76cm Undermount Rangehood,70cm Undermount rangehood,70cm Undermount rangehood,60cm Telescopic rangehood,60cm Telescopic rangehood,52cm Undermount rangehood,52cm Undermount rangehood,60cm Front Recirculating Rangehood,90cm Front Recirculating Rangehood,,
Feature #1,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Black glass,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,,,,
Feature #2,Extreme air extraction,High air extraction,High air extraction,High air extraction,Extreme air extraction,Downdraft air extraction,Downdraft air extraction,High air extraction,Intensive function,Extreme air extraction,,,High air extraction,Intensive function,,Intensive function,,,,
Feature #3,Low noise,,,,Low noise,Low noise,Low noise,Very low noise,Low noise,Very low noise,Low noise,Low noise,Very low noise,Low noise,Low noise,Low noise,,,,
Feature #4,"stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe",retracts into benchtop,retracts into benchtop,Delay stop,,"stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe",Delay stop,,"stainless steel filters, dishwasher safe","stainless steel filters, dishwasher safe",,,,
Feature #5,,,,,,,,,,,,,,,,,,,,
Finish,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel and coloured glass,stainless steel and coloured glass,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel
