Model #,KT90BA,KT90BLA,KT90PA,KT110ABL,KT110AP,KSE110ABL,KSE110AP9,KSE110AX,KT110BLA,KT110PA,,,,,
Status,Active,Active,Active,Old,Old,Active,Active,Active,Active,Active,,,,,
EAN,8017709217099,8017709217105,8017709217112,,,8017709183138,8017709183820,8017709183837,8017709217129,8017709217129,,,,,
Description,90cm Wallmount Canopy Rangehood,90cm Wallmount Canopy Rangehood,90cm Wallmount Canopy Rangehood,110cm Wallmount Canopy Rangehood,110cm Wallmount Canopy Rangehood,110cm Wallmount T-shape Rangehood,110cm Wallmount T-shape Rangehood,110cm Wallmount T-shape Rangehood,110cm Wallmount Canopy Rangehood,110cm Wallmount Canopy Rangehood,,,,,
Aesthetic,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,,,,,
Feature #1,Matching Victoria Aesthetic ,Matching Victoria Aesthetic ,Matching Victoria Aesthetic ,Matching Victoria Aesthetic ,Matching Victoria Aesthetic ,Black Enamelled ,Panna Enamelled ,Stainless Steel,Matching Victoria Aesthetic ,Matching Victoria Aesthetic ,,,,,
Feature #2,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,High Air Extraction,,,,,
Feature #3,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,Low Noise Rating,,,,,
Feature #4,,,,,,,,,,,,,,,
Feature #5,,,,,,,,,,,,,,,
Finish,White enamel,Black enamel,Panna (cream) enamel,Black enamel,Panna (cream) enamel,Black enamel,Panna (cream) enamel,Stainless Steel,Black enamel,Panna (cream) enamel,,,,,
Dimensions,"900mmW x 480mmD x 900-1150mmH
(depth excludes rail) ","900mmW x 480mmD x 900-1150mmH
(depth excludes rail) ","900mmW x 480mmD x 900-1150mmH
(depth excludes rail) ",1100mmW x 476mmD x 900-1150mmH,1100mmW x 476mmD x 900-1150mmH,1100mmW x 500mmD x 755-1100mmH,1100mmW x 500mmD x 755-1100mmH,1100mmW x 500mmD x 755-1100mmH,1100mmW x 476mmD x 900-1150mmH,1100mmW x 476mmD x 900-1150mmH,,,,,
Installation,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,,,,,
Motor,1 x 275W,1 x 275W,1 x 275W,1 x 210W,1 x 210W,1 x 215W,1 x 215W,1 x 215W,1 x 275W,1 x 275W,,,,,
Max Airflow,788m³/hr (IEC 61591),788m³/hr (IEC 61591),788m³/hr (IEC 61591),760m³/hr max airflow (IEC 61591),760m³/hr max airflow (IEC 61591),665m³/hr max airflow (IEC 61591),665m³/hr max airflow (IEC 61591),665m³/hr max airflow (IEC 61591),788m³/hr max airflow (IEC 61591),788m³/hr max airflow (IEC 61591),,,,,
Noise rating,41–56 dBA (IEC 60704-3),41–56 dBA (IEC 60704-3),41–56 dBA (IEC 60704-3),41–56 dBA maximum,41–56 dBA maximum,44–68 dBA,44–68 dBA,44–68 dBA,50-70 dBA maximum,50-70 dBA maximum,,,,,
Illumination,2 x 2W LED,2 x 2W LED,2 x 2W LED,2 x 20W halogen,2 x 20W halogen,2 x 20W halogen,2 x 20W halogen,2 x 20W halogen,2 x 2W LED,2 x 2W LED,,,,,
Speeds,Four,Four,Four,Three,Three,Four,Four,Four,Four,Four,,,,,
Delay stop,n/a,n/a,n/a,n/a,n/a,10 minute timer,10 minute timer,10 minute timer,n/a,n/a,,,,,
Supplied Accessories,3 x aluminium grease filters,3 x aluminium grease filters,3 x aluminium grease filters,3 x stainless steel grease filters (dishwasher safe),3 x stainless steel grease filters (dishwasher safe),3 x stainless steel grease filters (dishwasher safe),3 x stainless steel grease filters (dishwasher safe),3 x stainless steel grease filters (dishwasher safe),4 x stainless steel grease filters (dishwasher safe),4 x stainless steel grease filters (dishwasher safe),,,,,
Optional Accessories,charcoal filter part #FLT6,charcoal filter part #FLT6,charcoal filter part #FLT6,charcoal filter #FLT6,charcoal filter # FLT6,Charcoal filter # FLT4,Charcoal filter # FLT4,Charcoal filter # FLT4,charcoal filter #FLT6,charcoal filter #FLT6,,,,,
Ducting Options,"duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required","duct to atmosphere / recirculate
— 150mm diameter ducting required",,,,,
Power,"220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
279W
10A (3-pin plug)","220–240V, 50Hz
279W
10A (3-pin plug)",,,,,
Warranty,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,two years parts and labour,,,,,
