Status,NEW,NEW,NEW,NEW,NEW,NEW,,,,,,Harvey Norman Exclusive,,,,,,,,Obsolete,Obsolete,Obsolete,Obsolete,Obsolete,,,
Model #,SHW1270X,SHW970X,SHW181X90,K3039P,SHW181X70,SHW181X60,SHWG910X,SHW920X,K7588ASC,SA940CXA,SA950CXA,SA900CXB,SHW800B,SHB900X,SHW900B,SHW910X,SHB600X,SHB450X,SHW410X,K181X90,K181X60,K181X70,POLARB90 ,K39L,,,
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Old,Old,Old,Old,Old,,,
EAN,8026493058832,8026493058825,8026493058641,8026493058702,8026493058634,8026493058627,9345025000989,9345025000712,N/A,9345025000361,9345025000446,9345025000392,9345025000903,9345025000835,9345025000699,9345025000705,9345025000828,9345025000811,9345025000682,,,,,,,,
Description,120cm Wallmount  T shape rangehood,90cm Wallmount  T shape rangehood,90cm Wallmount  T shape rangehood,90cm Wallmount canopy rangehood,70cm Wallmount T shape rangehood,60cm Wallmount T shape rangehood,90cm Wallmount rangehood with curved glass,90cm Wallmount  T shape rangehood,90cm Wallmount rangehood with glass,90cm Wallmount Rangehood,90cm Wallmount Rangehood with curved glass,90cm Wallmount rangehood,80cm Wallmount Curved Front black glass rangehood,90cm Wallmount box rangehood,90cm Wallmount  T shape rangehood,90cm Wallmount canopy rangehood,60cm Wallmount box rangehood,45cm Wallmount box rangehood,37cm Wallmount Cylindrical rangehood,,,,90cm Wallmount rangehood,,,,
Feature #1,Stainless steel,Stainless steel,Stainless steel,stainless steel & rail,Stainless steel,Stainless steel,Curved glass canopy,Stainless steel,Stainless steel and crystal glass,Stainless steel,stainless steel and 8mm glass,Stainless steel,Black glass curved front,Stainless steel box design,Stainless steel and black mirror glass,Stainless steel,Stainless steel box design,Stainless steel box design,Stainless steel designer piece,,,,Stainless steel and black glass,,,,
Feature #2,High air extraction,High air extraction,High air extraction,High air extraction,High air extraction,High air extraction,Centrifugal motor,Centrifugal motor,ASC Sensor control,High air extraction,High air extraction,High air extraction,Very high air extraction,Intensive function,Touch Control,High air extraction,Intensive function,Intensive function,Intensive function,,,,Perimeter extraction,,,,
Feature #3,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Very low noise,Very low noise,Very low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,Low noise,,,,Very low noise,,,,
Feature #4,,,,,,,,,Delay stop,,,Centrifugal motor,Intensive function, ,,,,,,,,,,,,,
Feature #5, ,,,,,,,,,,,,24 hour continuous air renewal,,,,,,,,,,,,,,
Finish,stainless steel,stainless steel,stainless steel,stainless steel & rail,stainless steel,satin stainless steel,stainless steel,stainless steel,stainless steel & crystal glass,stainless steel,stainless steel and 8mm glass,stainless steel,stainless steel/black glass,stainless steel,stainless steel/black mirror glass,stainless steel,stainless steel,stainless steel,stainless steel,stainless steel,satin stainless steel,Stainless steel,stainless steel and coloured glass,stainless steel & rail,,,
Dimensions,1200mmW x 450mmD x 765-1180mmH,900mmW x 450mmD x 765-1180mmH,900mm W x 450mm D x 756mm-1180mm H maximum,900mmW x 500mmD x 830mmH maximum,700mm W x 450mm D x 1180mm H maximum,600mm W x 450mm D x 1180mm H maximum,898mmW x  850–1050mm H x 490mmD,898mmW x 730–1000mmH x 470mmD,900mm W x 500mm D x 1235mm H maximum,898mmW x 500mmD x 1080mmH maximum,900mmW x 480mmD x 830mmH maximum,898mmW x 500mmD x 1080mmH maximum,798mmW x 1145-1625mmH x 350mmD,898mmW x 420mmD x 890mmH,898mmW x 730–1000mmH x 470mmD,898mmW x  740–1140mm H x 490mmD,598mmW x 420mmD x 890mmH,448mmW x 420mmD x 890mmH,370mm diameter x 890mm H,900mm W x 496mm D x 1190mm H maximum,600mm W x 496mm D x 1190mm H maximum,700mm W x 496mm D x 1190mm H maximum,n/a,900mmW x 480mmD x 830mmH maximum,,,
Installation,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wall mount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wallmount,wall mount,wallmount,wallmount,,,
Motor,1 x 195W Brushless,1 x 195W Brushless,1 x 250W ,1 x 250W,1 x 250W,1 x 250W,1 x 250W ,1 x 250W ,1 x 250W ,1 x 198W,1 x 138W,1 x 198W,1 x 260W,1 x 250W,1 x 250W,1 x 250W ,1 x 250W,1 x 250W,1 x 250W,1 x 190W ,1 x 190W ,1 x 190W ,n/a,1 x 138W,,,
Max Airflow,840m³/hr (IEC 61591),840m³/hr (IEC 61591),750m³/hr (IEC 61591),800m³/hr (IEC 61591),750m³/hr (IEC 61591),750m³/hr (IEC 61591),690m³/hr (IEC 61591),690m³/hr (IEC 61591),750m³/hr (IEC 61591),900m³/hr (IEC 61591),910m³/hr (IEC 61591),,910m³/hr (IEC 61591),710m³/hr (IEC 61591),690m³/hr (IEC 61591),920m³/hr (IEC 61591),710m³/hr (IEC 61591),710m³/hr (IEC 61591),620m³/hr (IEC 61591),590m³/hr (IEC 61591),590m³/hr (IEC 61591),590m³/hr (IEC 61591),800m³/hr (IEC 61591),910m³/hr (IEC 61591),,,
Noise rating,40-63 dBA (IEC 60704-3),40-63 dBA (IEC 60704-3),59-66dBA (IEC 60704-3),52-70dBA (IEC 60704-3),59-66dBA (IEC 60704-3),59-66dBA (IEC 60704-3),45–68 dBA (IEC 60704-3),45–68 dBA (IEC 60704–3),40–59 dBA (IEC 60704-3),62 dBA maximum,58 dBA maximum,,42-66 dBA (IEC60704-3),43–65 dBA (IEC 60704-3),45–68 dBA (IEC 60704-3),52–71 dBA (IEC 60704-3),43–65 dBA (IEC 60704-3),43–65 dBA (IEC 60704-3),47–65 dBA (IEC 60704-3),29–50 dBA (IEC 60704-3),29–50 dBA (IEC 60704-3),29–50 dBA (IEC 60704-3),41–60 dBA (IEC 60704-3),58 dBA maximum,,,
Illumination,2 x 2.5W LED,2 x 2.5W LED,2 x 2.5W LED,2 x 2.5W LED,2 x 2.5W LED,2 x 2.5W LED,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,1 x 7W strip LED,2 x 2W LED,,2 x 3W LED,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen globes,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,2 x 20W halogen ,,,
