Model number,Type,Status,EAN,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Size,Capacity,Style,Finish,device Display,Total Programs,End of cycle indicator,Baskets,Wash system,Water softener,Temperatures,Feature list,Water connection,Timer,Filtration,Drying,Safety,Noise,Energy Usage,Energy Rating,Water usage,Water Rating,Power,Warranty,Function List,Programs List,Quick Programs List
DWAFI6D15PO,Dishwasher,Active,8017709220020,60cm Diamond Series Fully Integrated Push to open dishwasher,Planetary Wash system,Flexi duo cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 858–928mmH x 547mmD,15 Place settings,Fully-integrated,,LED,5 + 5 Quick Programs,ActiveLight,3 Levels,Planetary Wash System,Yes – electronically adjustable,"38°, 45°, 50°, 65°, 70°C","Push to Open,Internal LED lights,Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable baskets, Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,42 dBA,243 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAFI6D15T,Dishwasher,Active,8017709220037,60cm Diamond Series Fully Integrated dishwasher,Planetary Wash system,Flexi duo cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 860–930mmH x 547mmD,15 Place settings,Fully-integrated,,LED,5 + 5 Quick Programs,ActiveLight,3 Levels,Planetary Wash System,Yes – electronically adjustable,"38°, 45°, 50°, 65°, 70°C","Internal LED lights,Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,42 dBA,243 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAFI6315T,Dishwasher,Active,8017709220044,60cm Fully Integrated dishwasher,Orbital Wash system,Cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 858mm – 928mmH max x 547mmD,15 Place settings,Fully-integrated,,LED,5 + 5 Quick Programs,"On display, with acoustic signal",3 Levels,Orbital Wash System,Yes – with electronic setting,"38°, 45°, 50°, 65°, 70°C","Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable upper and middle baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 9 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),"Active Acquastop,Contol Lock",42 dBA,243 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAFI6314,Dishwasher,Active,8017709220006,60cm Fully Integrated dishwasher,Orbital Wash system,Cutlery tray,Active Acquastop,5 Stage filtration system,,,598mmW x 818mm–888mmH x 570mmD,14 Place settings,Fully-integrated,,LED lights,5 + 5 Quick Programs,Acoustic signal,3 Levels,Orbital Wash System,No,"45°, 50°, 65°, 70°C","Quicktime wash setting for each program,½ Load FlexiZone,Height adjustable upper basket, Self balancing hinges",Hot or cold Water Connection (60ºC Max),"3-6-9 Hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,47 dBA,243 kWh/year,3.5 Star,9.7 Litres,5.5 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Flexitab,Flexizone,Quicktime,Delay","Soak,Normal ECO,Eco,Intensive 65°,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAFI75,Dishwasher,Active,8017709211936,60cm Fully Integrated dishwasher,Orbital Wash system,,Total Aquastop,5 Stage filtration system,,,559mmW x 578mmH x 550mmD,7 place settings,Fully-integrated,,Electronic display,10 programs,,,Orbital Wash System,,"38°, 45°, 50°, 65°, 70°C",,Hot or cold Water Connection (60ºC Max),"Up to 9 hours, with automatic soak",5 stage self-cleaning filter,,Total Aquastop,48 dBA,162 kWh/year,3 Stars,8.4 Litres,3.5 Star,"230–240V, 50/60 Hz, 0.73 kWh, 10A",Two years parts and labour,,,
DWAI6D15XT,Dishwasher,Active,8017709217471,60cm Diamond Series Semi Integrated dishwasher,Planetary Wash system,Flexi duo cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 860–930mmH x 547mmD,15 Place settings,Semi-integrated,,LCD,5 + 5 Quick Programs,ActiveLight,3 Levels,Planetary Wash System,No,"38°, 45°, 50°, 65°, 70°C","Internal LED lights,Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,42 dBA,243 kWh/year,5 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAI6315XT,Dishwasher,Active,8017709217860,60cm Semi Integrated dishwasher,Orbital Wash system,Cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 858–928mmH x 547mmD,15 Place settings,Semi-integrated,,4 Digit LCD,5 + 5 Quick Programs,"On display, with acoustic signal",3 Levels,Orbital Wash System,No,"38°, 45°, 50°, 65°, 70°C","Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable upper and middle baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,42 dBA,243 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAI6314X,Dishwasher,Active,8017709217495,60cm Semi Integrated dishwasher,Orbital Wash system,Cutlery tray,Active Acquastop,5 Stage filtration system,,,598mmW x 818–868mmH x 570mmD,14 Place settings,Semi-integrated,,LED Lights,5 + 5 Quick Programs,Acoustic signal,3 Levels,Orbital Wash System,No,"45°, 50°, 65°, 70°C","Quicktime wash setting for each program,½ Load FlexiZone,Height adjustable upper basket,Self balancing hinges",Hot or cold Water Connection (60ºC Max),3-6-9-12 Hours,Stainless steel 5 stage filter,Natural condenser drying,"Active Acquastop,Child safety system (door lock)",47 dBA,243 kWh/year,3.5 Star,9.7 Litres,5.5 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Flexitab,Flexizone,Quicktime,Delay","Soak,Normal ECO,Eco,Intensive 65°,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAU6D15XT,Dishwasher,Active,8017709218003,60cm Diamond Series Underbench dishwasher,Planetary Wash system,Flexi duo cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),Tall Tank,598mmW x 860–930mmH x 570mmD,15 Place settings,Underbench,,LCD,5 + 5 Quick Programs,"On display, with acoustic signal",3 Levels,Planetary Wash System,No,"38º, 45°, 50°, 65°, 70°C","Internal LED lights,Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),"Active Acquastop,Contol Lock",42 dBA,243 kWh/year,6 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWAU6315X,Dishwasher,Active,8017709217518,60cm Underbench dishwasher,Orbital Wash system,Cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),,598mmW x 818mm-888mmH x 570mmD,15 Place settings,Underbench,Stainless steel,LCD,5 + 5 Quick Programs,"On display, with acoustic signal",3 Levels,Orbital Wash System,No,"45°, 50°, 65°, 70°C","Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable upper and middle baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),"Active Acquastop,Child safety system (door lock)",47 dBA,243 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
DWA6D15X,Dishwasher,Active,8017709217624,60cm Diamond Series Freestanding dishwasher,Planetary Wash system,Flexi duo cutlery tray,Active Acquastop,5 Stage filtration system,SmartDry (Enersave),,598mmW x 850mmH x 600mmD,15 Place settings,Freestanding,Stainless steel,LCD,5 + 5 Quick Programs,"On display, with acoustic signal",3 Levels,Planetary Wash System,Yes – electronically adjustable,"38°, 45°, 50°, 65°, 70°C","Internal LED lights,Aquatest turbidity sensor,Quicktime wash setting for each program,½ Load FlexiZone,Fully adjustable baskets,Self balancing hinges",Hot or cold Water Connection (60ºC Max),"Up to 24 hours, with automatic soak",Stainless steel 5 stage filter,Natural condenser drying with SmartDry (Enersave),Active Acquastop,47 dBA,240 kWh/year,4 Star,9.7 Litres,6 Star,"230–240V, 50/60 Hz,1800W, 10A",Two years parts and labour,"Quicktime,Flexizone,Delay,Flexitab,Enersave","Soak,Normal ECO,Eco,Auto 60-70,Ultraclean","Rapid 27,Normal Quick,Eco Quick,Daily Quick,Strong and Fast"
