Model number,Type,Status,EAN,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Installation,Size,Cutout,Capacity,Power levels,Timers,Controls,Safety,Power,Pan size,Warranty,Notes
SAI90MW,InductionCooktop,Active,3760120863530,90cm SmartSense Plus Induction Cooktop,SmartSense Plus,3 pairs x Surface Share zones,Double Boost,Preset temperature settings,Active Surface Control,"White ceramic surface, bevelled edge— 33mm front, 5mm sides, straight back","Built-in hob, topmount","900mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front centre* 220x180mm 2100W | boost 2600/3700W,Rear centre* 220x180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                            
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic Active Surface Control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 11000W, 45.8A Must be hard wired",automatic pan size recognition,two years parts and labour,"BOOST FUNCTION
Smeg SmartSense induction cooktops feature single boost (2,300W and 2,600W) and double boost (3,000W and 3700W) options. Boost provides an additional surge of power for even more intense heat and is ideal for heating large quantities rapidly (eg water for cooking pasta). The temperature will revert to power level 9 when complete (boost is limited to 8–10 minutes if not stopped beforehand)."
SAI90MB,InductionCooktop,Active,3760120863523,90cm SmartSense Plus Induction Cooktop,SmartSense Plus,3 pairs x Surface Share zones,Double Boost,Preset temperature settings,Active Surface Control,"Black ceramic surface, bevelled edge— 33mm front, 5mm sides, straight back","Built-in hob, topmount","900mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front centre* 220x180mm 2100W | boost 2600/3700W,Rear centre* 220x180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic Active Surface Control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 11000W, 45.8A Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI95,InductionCooktop,Active,3760120863479,90cm SmartSense Induction Cooktop,SmartSense,1 pair x Surface Share zones,Double Boost,Preset temperature settings,,"Black ceramic surface, 12mm bevelled edge","Built-in hob, topmount","900mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"Left 260mm 2600W | boost 3300/5500W,Front centre 180mm 1850W | boost 2300/3000W,Rear centre 180mm 1850W | boost 2300/3000W,Front right* 220x180mm 2100W | boost 2600/3700W ,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic slide control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 11100W, 46.25A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI905HN,InductionCooktop,Active,3760120863479,90cm SmartSense Induction Cooktop,SmartSense,2 pairs x Surface Share zones,Double Boost,Preset temperature settings,,"Black ceramic surface, bevelled edge— 33mm front, 5mm sides, straight back","Built-in hob, topmount","900mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",805mmW x 490mmD,"Left 260mm 2600W | boost 3300/5500W,Front centre * 180mm 2100W | boost 2600/3700W,Rear centre* 180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","5 timers, simultaneous or separate operation
independent egg timer",ergonomic slide control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 11100W, 46.25A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI70MW,InductionCooktop,Active,3760120863516,70cm SmartSense Plus Induction Cooktop,SmartSense Plus,2 pairs x Surface Share zones,Double Boost,Preset temperature settings,Active Surface Control,"White ceramic surface, bevelled edge — 33mm front, 5mm sides, straight back","Built-in hob, topmount","700mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",670mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic Active Surface Control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 7400W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI70MB,InductionCooktop,Active,3760120863509,70cm SmartSense Plus Induction Cooktop,SmartSense Plus,2 pairs x Surface Share zones,Double Boost,Preset temperature settings,Active Surface Control,"Black ceramic surface, bevelled edge — 33mm front, 5mm sides, straight back","Built-in hob, topmount","700mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",670mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic Active Surface Control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 7400W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI74,InductionCooktop,Active,3760120863462,70cm SmartSense Induction Cooktop,SmartSense,1 pair x Surface Share zones,Double Boost,Preset temperature settings,,"Black ceramic surface, 12mm bevelled edge","Built-in hob, topmount","700mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front right 180mm 1850W | boost 2300/3000W,Rear right 180mm 1850W | boost 2300/3000W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic slide control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 7400W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SIHP273S,InductionCooktop,Active,3760120862366,70cm Induction Cooktop,Nine heat settings per zone,Boost function,Automatic pan size recognition,Ergonomic Slide Control,,"Black ceramic surface, bevelled edge","Built-in hob, topmount",700mmW x 4mmH x 520mmD,560mmW x 490mmD,"Left 280mm 2300W | boost 3000W,Front right 200mm 2000W | boost 2300W,Rear right 160mm 1200W | boost 1400W","9 heat settings per zone + 1 boost setting per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic slide control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop","220–240V, 50/60Hz, 6700W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI73,InductionCooktop,Active,3760120863455,70cm SmartSense Induction Cooktop,SmartSense,1 pair x Surface Share zones,Double Boost,Preset temperature settings,,"Black ceramic surface, 12mm bevelled edge","Built-in hob, topmount","700mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"Left 220x180mm 2300W | boost 2900/3700W,Front right* 180mm 2100W | boost 2600/3700W,Rear right* 180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic slide control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 7400W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
SAI60MB,InductionCooktop,Active,3760120863486,60cm SmartSense Plus Induction Cooktop,SmartSense Plus,2 pairs x Surface Share zones,Double Boost,Preset temperature settings,Active Surface Control,"Black ceramic surface, bevelled edge — 33mm front, 5mm sides, straight back","Built-in hob, topmount","590mmW x 45mmH x 520mmD
(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"Front left* 220x180mm 2100W | boost 2600/3700W,Rear left* 220x180mm 2100W | boost 2600/3700W,Front right* 220x180mm 2100W | boost 2600/3700W,Rear right* 220x180mm 2100W | boost 2600/3700W,*These zones feature Surface Share","9 heat settings per zone + 2 boost settings per zone
3 auto-regulated temperatures                             
? 42ºC,  ?? 70ºC,   ??? 94ºC","3 timers, simultaneous or separate operation
independent egg timer",ergonomic Active Surface Control,"pan detection,automatic cut-off,touch-control lock,residual heat indicators,automatic spillage stop,child safety lock","220–240V, 50/60Hz, 7400W, 31A  Must be hard wired",automatic pan size recognition,two years parts and labour,
